station lat long elevation
US10chey021 41.1554 62.4556 1282.9
US10chey028 41.0317 62.5123 1296.9
US10clay009 40.6115 67.1627 570.9
US10cumi003 41.8664 68.6405 431
US10cumi012 42.0149 68.8644 0
US10keit008 41.1234 63.6888 990
US10polk001 41.113 67.8572 506
US10red_015 40.3302 65.1535 773
US10sali024 40.4803 68.4011 433.1
US10sarp004 41.1295 69.4783 341.1
US10sarp006 41.1056 69.5014 326.1
US1ALLD0012 34.9776 77.9303 234.1
US1ALMB0018 30.817 77.3643 3
US1ALMB0061 30.6186 77.1621 53.9
US1ALWK0003 33.8201 78.1394 135.9
US1ARBX0010 36.3867 72.9425 254.2
US1ARCN0001 33.4833 72.9669 52.7
US1ARFK0001 35.0781 72.9893 103
US1ARLE0001 34.7841 74.6201 64.3
US1AZCH0008 31.5023 55.2004 1386.5
US1AZCH0017 31.549 55.1624 1391.7
US1AZMR0035 33.5041 53.1001 316.7
US1AZMR0340 33.6122 53.1425 353.6
US1AZYV0029 34.571 52.9983 1634.9
US1CAAM0005 38.5054 44.9407 1241.5
US1CAED0011 38.757 44.8625 1187.2
US1CALA0008 34.0786 46.753 207.9
US1CAMD0001 39.2206 42.1088 759.6
US1CANV0014 39.0322 44.3626 480.4
US1CANV0035 39.2382 44.3937 848
US1CHARM036 34.6389 78.9186 225.6
US1CHARM152 34.7511 78.5603 214.3
US1CHARM187 34.7756 78.6597 218.5
US1COAD0135 39.8975 61.0189 1579.2
US1COAR0071 39.5973 60.972 1787
US1COAR0243 39.5795 60.6828 1809
US1COAU0011 37.0828 58.5033 2396
US1COBO0318 40.0394 60.0788 1931.8
US1CODG0062 39.3475 60.5751 1933
US1CODG0149 39.4506 60.7362 1963.5
US1COEG0006 39.3793 58.5151 2183.6
US1COEL0062 38.9469 61.682 1665.7
US1COEP0282 38.9172 60.6911 2065
US1COFM0002 38.3841 60.278 1648.1
US1COFM0009 38.4298 60.2086 1644.1
US1COGF0004 39.5308 58.1176 1800.1
US1COGF0026 39.4537 57.4531 1841
US1COGN0040 38.6391 58.4992 2420.4
US1COJF0053 39.493 60.0905 2585.9
US1COJF0201 39.5769 60.2765 1845
US1COJF0325 39.8227 60.3179 1650.5
US1COJF0365 39.7197 60.1928 2268.9
US1COJF0372 39.6478 60.3724 1668.5
US1COLA0013 37.212 60.7142 2208
US1COLR0247 40.3302 59.9179 2467.1
US1COLR0509 40.3926 60.2813 1562.1
US1COLR0797 40.6374 60.3583 1537.1
US1COLR0868 40.4666 60.0125 2165
US1COLR0907 40.7488 60.0083 2305.8
US1COLR0934 40.5627 60.3321 1545.3
US1COME0059 39.0368 56.9176 1427.1
US1COME0061 39.0894 57.3358 2450.6
US1COME0091 39.0645 56.9771 1413.7
US1COMZ0035 37.4131 56.6923 2075.1
US1COPT0007 39.2795 58.2154 2029.4
US1COPW0025 37.6944 62.9744 1286
US1CORG0019 37.6907 59.1316 2391.2
US1COSA0055 38.1703 58.7831 2876.7
US1COWE0209 40.0679 60.4107 1549
US1COWE0310 40.0931 60.5111 1533.8
US1COYU0052 40.3454 63.2982 1106.1
US1CTHR0009 41.8029 92.6633 103.6
US1CTWN0004 41.8381 93.6009 112.2
US1GADW0002 34.5286 81.1451 541.9
US1GAFN0003 34.9653 80.9705 642.8
US1GAWL0007 33.7917 81.5681 278.3
US1IACF0006 42.0517 69.9302 406.6
US1IACN0005 41.8001 75.1649 181.7
US1IATY0002 40.8006 70.5298 358.4
US1IAWD0007 42.5108 69.0339 391.4
US1IDAD0002 43.6695 49.1747 799.2
US1IDAD0019 43.5727 49.2753 840
US1IDBV0008 43.4636 53.4036 1435.3
US1IDCW0007 46.4856 49.1968 335.9
US1IDID0006 45.5519 49.1372 503.2
US1IDLT0006 46.929 48.5526 805
US1IDTF0003 42.638 50.657 994.3
US1ILCK0121 42.1139 77.4222 223.1
US1ILCK0190 42.0133 77.3257 251.2
US1ILCL0002 39.3838 77.6657 189.9
US1ILCP0067 40.1261 77.1316 226.8
US1ILDP0074 41.7682 77.3226 228
US1ILDP0085 41.8969 77.4497 220.1
US1ILEF0020 39.0382 76.69 187.1
US1ILGY0001 41.3414 77.1419 160
US1ILKD0024 41.6293 77.1409 206
US1ILKD0034 41.5678 77.1699 201.5
US1ILKK0010 41.2019 77.8151 220.1
US1ILKN0001 41.8941 77.1516 230.1
US1ILKN0009 42.0256 77.1515 237.1
US1ILLE0005 41.8328 75.8172 226.2
US1ILLE0018 41.6454 76.2092 280.7
US1ILLG0004 40.1597 75.9868 170.1
US1ILLG0039 40.1556 76.0607 179.8
US1ILLK0029 42.2814 77.5622 213.1
US1ILLS0002 41.2995 76.3745 196
US1ILLS0004 41.5274 76.7543 175.6
US1ILMCH013 42.3245 77.0454 292
US1ILMCL012 40.5265 76.5054 251.2
US1ILMP0012 39.28 75.5792 189
US1ILMY0008 39.1737 75.7859 210
US1ILSC0001 38.5067 75.6252 128.9
US1ILSG0004 39.8535 75.8646 175.9
US1ILSH0003 39.2827 76.6427 180.4
US1ILWR0002 40.7325 74.7664 223.1
US1INBN0017 40.0907 78.7899 267.9
US1INBW0006 39.1441 79.3922 248.1
US1INCK0024 38.3842 79.6868 143.6
US1INCS0011 40.5698 79.2656 240.2
US1INCW0003 38.324 79.1021 205.7
US1INDV0006 38.6217 78.2571 143
US1INDV0017 38.6205 78.3041 149
US1INEL0036 41.6425 79.3985 226.2
US1INGB0009 38.333 77.9927 139.3
US1INGB0013 38.3679 77.8596 143.9
US1INHS0022 39.8593 79.0239 274.3
US1INHS0031 39.8655 79.0567 271.3
US1INHW0016 40.5185 79.1823 247.2
US1INJN0007 39.0048 79.8291 202.4
US1INJN0012 39.0065 79.778 224.6
US1INLP0015 41.5594 78.8339 224
US1INLW0004 38.7525 79.051 188.1
US1INLW0022 38.9232 78.9061 187.8
US1INMG0011 39.5444 79.0786 209.1
US1INMR0080 39.9077 79.1284 271.9
US1INMT0003 38.6607 78.7215 227.1
US1INOW0009 39.1858 78.6618 235.9
US1INPT0003 41.4674 78.3525 220.1
US1INPT0008 41.4708 78.3967 251.2
US1INPT0125 41.4132 78.4008 225.9
US1INSL0001 39.0956 78.0226 153
US1INSN0005 41.5324 80.5547 277.1
US1INTN0009 40.2969 79.3826 267
US1INWK0006 38.0069 78.0754 132.9
US1INWL0002 40.8006 80.2805 261.2
US1INWR0009 40.3135 78.1687 179.2
US1KSCD0001 39.625 67.548 435.9
US1KSEL0056 38.8337 65.8821 654.1
US1KSEL0060 38.9733 66.1606 634.6
US1KSMR0001 38.8119 68.6639 427
US1KSOS0013 38.7235 69.8025 327.1
US1KSRS0029 38.9656 66.5088 547.1
US1KSSG0069 37.7953 68.0639 407.5
US1KSTH0018 39.3947 64.3891 967.1
US1KYBN0012 39.0201 80.7119 251.2
US1KYFR0011 38.2743 80.507 272.5
US1KYFY0009 38.0249 80.945 307.8
US1KYMO0001 36.7586 79.5408 280.1
US1KYTD0002 36.6534 78.256 164.6
US1MAWR0013 42.497 93.665 179.5
US1MDBL0026 39.461 88.6315 193.9
US1MDCL0009 38.9863 89.6554 6.1
US1MDCV0001 38.7418 88.7593 11.9
US1MDFR0014 39.4852 88.1048 96.3
US1MDGR0004 39.4854 86.1217 761.1
US1MDHR0012 39.6226 88.9698 192.9
US1MDHW0022 39.1957 88.509 114
US1MDMG0042 38.9902 88.4319 75
US1MDMG0061 39.0978 88.415 113.7
US1MDSM0001 38.1208 89.0749 24.1
US1MECM0008 43.7121 95.1511 45.1
US1MEHN0027 44.4139 96.8494 20.1
US1MEKB0016 44.3216 95.6826 50
US1MEWS0018 44.6628 97.8883 14
US1MIBN0003 41.8183 79.0977 231.3
US1MIBY0002 43.6664 81.5339 178.3
US1MIET0003 42.7242 80.8121 267.3
US1MIET0005 42.7569 80.6947 254.2
US1MIIC0006 44.2933 81.7559 230.7
US1MIJC0013 42.107 80.814 328
US1MIJC0014 42.4113 80.9124 286.2
US1MIKN0031 42.8416 79.7565 217.6
US1MIKN0065 43.0789 79.8118 239.3
US1MILV0013 42.4886 81.6267 278.3
US1MIMQ0013 46.5301 78.0347 231
US1MIMR0004 41.8864 82.0102 182.3
US1MIOK0013 42.4725 82.2864 200.3
US1MIOK0071 42.493 82.2749 201.2
US1MIOT0007 45.0093 80.7932 397.8
US1MIOW0020 42.8653 79.5826 198.1
US1MISG0011 43.4557 81.4554 185.6
US1MIVB0004 42.2658 79.5781 216.1
US1MIWS0006 42.2935 81.6701 298.1
US1MIWY0013 42.1781 82.0049 199.6
